terminals_budget,K_budget,terminals_len,K,case,algo,obj,time
0.3,0.1,6,0,1,Greedy ES - no ls,15.0,0.00544
0.3,0.1,6,0,1,Greedy ES - ls,15.0,0.00543
0.3,0.1,6,0,1,Greedy MIS - no ls,15.0,0.03145
0.3,0.1,6,0,1,Greedy MIS - ls,15.0,0.02949
0.3,0.1,6,0,1,Exact,15.0,0.06561
0.3,0.1,6,1,2,Greedy ES - no ls,6.0,0.00277
0.3,0.1,6,1,2,Greedy ES - ls,6.0,0.00419
0.3,0.1,6,1,2,Greedy MIS - no ls,6.0,0.01200
0.3,0.1,6,1,2,Greedy MIS - ls,6.0,0.02671
0.3,0.1,6,1,2,Exact,6.0,0.08873
0.3,0.2,6,1,1,Greedy ES - no ls,10.0,0.00606
0.3,0.2,6,1,1,Greedy ES - ls,6.0,0.00707
0.3,0.2,6,1,1,Greedy MIS - no ls,6.0,0.03057
0.3,0.2,6,1,1,Greedy MIS - ls,6.0,0.04928
0.3,0.2,6,1,1,Exact,6.0,0.09784
0.3,0.2,6,2,2,Greedy ES - no ls,3.0,0.00271
0.3,0.2,6,2,2,Greedy ES - ls,3.0,0.00409
0.3,0.2,6,2,2,Greedy MIS - no ls,6.0,0.01080
0.3,0.2,6,2,2,Greedy MIS - ls,3.0,0.03858
0.3,0.2,6,2,2,Exact,3.0,0.05929
0.3,0.3,6,1,1,Greedy ES - no ls,10.0,0.00571
0.3,0.3,6,1,1,Greedy ES - ls,6.0,0.00679
0.3,0.3,6,1,1,Greedy MIS - no ls,6.0,0.03047
0.3,0.3,6,1,1,Greedy MIS - ls,6.0,0.04883
0.3,0.3,6,1,1,Exact,6.0,0.09550
0.3,0.3,6,4,2,Greedy ES - no ls,3.0,0.00250
0.3,0.3,6,4,2,Greedy ES - ls,3.0,0.00524
0.3,0.3,6,4,2,Greedy MIS - no ls,6.0,0.00683
0.3,0.3,6,4,2,Greedy MIS - ls,3.0,0.05282
0.3,0.3,6,4,2,Exact,3.0,0.05949
0.5,0.1,10,1,1,Greedy ES - no ls,28.0,0.00537
0.5,0.1,10,1,1,Greedy ES - ls,16.0,0.00649
0.5,0.1,10,1,1,Greedy MIS - no ls,16.0,0.03087
0.5,0.1,10,1,1,Greedy MIS - ls,16.0,0.04904
0.5,0.1,10,1,1,Exact,16.0,0.09653
0.5,0.1,10,1,2,Greedy ES - no ls,21.0,0.00164
0.5,0.1,10,1,2,Greedy ES - ls,21.0,0.00331
0.5,0.1,10,1,2,Greedy MIS - no ls,21.0,0.00402
0.5,0.1,10,1,2,Greedy MIS - ls,21.0,0.01684
0.5,0.1,10,1,2,Exact,21.0,0.11137
0.5,0.2,10,2,1,Greedy ES - no ls,11.0,0.00526
0.5,0.2,10,2,1,Greedy ES - ls,6.0,0.00749
0.5,0.2,10,2,1,Greedy MIS - no ls,6.0,0.02955
0.5,0.2,10,2,1,Greedy MIS - ls,6.0,0.06634
0.5,0.2,10,2,1,Exact,6.0,0.11076
0.5,0.2,10,2,2,Greedy ES - no ls,11.0,0.00138
