case,algo,terminals,non_terminals,K,obj,time
2,Greedy affinity - no ls,9,91,9,36.0,0.02034
2,Greedy affinity - ls,9,91,9,21.0,0.32348
2,Greedy affinity - no ls,9,91,18,36.0,0.02088
2,Greedy affinity - ls,9,91,18,21.0,0.56133
2,Greedy affinity - no ls,9,91,27,36.0,0.02039
2,Greedy affinity - ls,9,91,27,21.0,0.72303
2,Greedy affinity - no ls,9,91,36,36.0,0.02226
2,Greedy affinity - ls,9,91,36,21.0,0.81405
2,Greedy affinity - no ls,9,91,45,36.0,0.02094
2,Greedy affinity - ls,9,91,45,21.0,0.83899
2,Greedy affinity - no ls,19,81,8,171.0,0.07723
2,Greedy affinity - ls,19,81,8,136.0,0.33529
2,Greedy affinity - no ls,19,81,16,171.0,0.07968
2,Greedy affinity - ls,19,81,16,120.0,0.53982
2,Greedy affinity - no ls,19,81,24,171.0,0.08439
2,Greedy affinity - ls,19,81,24,120.0,0.67676
2,Greedy affinity - no ls,19,81,32,171.0,0.08038
2,Greedy affinity - ls,19,81,32,120.0,0.73842
2,Greedy affinity - no ls,19,81,40,153.0,0.07908
2,Greedy affinity - ls,19,81,40,105.0,0.73648
2,Greedy affinity - no ls,30,70,7,435.0,0.16528
2,Greedy affinity - ls,30,70,7,406.0,0.34317
2,Greedy affinity - no ls,30,70,14,435.0,0.16259
2,Greedy affinity - ls,30,70,14,325.0,0.48378
2,Greedy affinity - no ls,30,70,21,406.0,0.16340
2,Greedy affinity - ls,30,70,21,300.0,0.58836
2,Greedy affinity - no ls,30,70,28,378.0,0.16496
2,Greedy affinity - ls,30,70,28,300.0,0.64183
2,Greedy affinity - no ls,30,70,35,378.0,0.16647
2,Greedy affinity - ls,30,70,35,276.0,0.66424
2,Greedy affinity - no ls,40,60,6,780.0,0.24987
2,Greedy affinity - ls,40,60,6,741.0,0.37833
2,Greedy affinity - no ls,40,60,12,780.0,0.25125
2,Greedy affinity - ls,40,60,12,703.0,0.47728
2,Greedy affinity - no ls,40,60,18,741.0,0.25203
2,Greedy affinity - ls,40,60,18,666.0,0.55914
2,Greedy affinity - no ls,40,60,24,741.0,0.24785
2,Greedy affinity - ls,40,60,24,666.0,0.59096
2,Greedy affinity - no ls,40,60,30,741.0,0.24834
2,Greedy affinity - ls,40,60,30,595.0,0.61383
2,Greedy affinity - no ls,50,50,5,1225.0,0.32305
2,Greedy affinity - ls,50,50,5,1176.0,0.40713
2,Greedy affinity - no ls,50,50,10,1225.0,0.32416
2,Greedy affinity - ls,50,50,10,1128.0,0.48878
2,Greedy affinity - no ls,50,50,15,1225.0,0.32026
2,Greedy affinity - ls,50,50,15,1128.0,0.53753
2,Greedy affinity - no ls,50,50,20,1176.0,0.32840
2,Greedy affinity - ls,50,50,20,1128.0,0.56496
2,Greedy affinity - no ls,50,50,25,1176.0,0.32141
2,Greedy affinity - ls,50,50,25,1128.0,0.57602
