case,algo,terminals,non_terminals,K,obj,time
2,Greedy ES - no ls,19,56,25,70.0,0.15855
2,Greedy ES - ls,19,56,25,70.0,0.34440
2,Greedy MIS - no ls,19,56,25,111.0,1.49922
2,Greedy MIS - ls,19,56,25,106.0,15.58273
2,Exact,19,56,25,70.0,121.92449
2,Greedy ES - no ls,19,56,15,93.0,0.18222
2,Greedy ES - ls,19,56,15,93.0,0.33287
2,Greedy MIS - no ls,19,56,15,111.0,3.43171
2,Greedy MIS - ls,19,56,15,106.0,14.75468
2,Exact,19,56,15,81.0,388.13861
2,Greedy ES - no ls,19,56,10,171.0,0.19510
2,Greedy ES - ls,19,56,10,153.0,0.30903
2,Greedy MIS - no ls,19,56,10,111.0,4.09364
2,Greedy MIS - ls,19,56,10,106.0,12.49750
2,Exact,19,56,10,106.0,753.09792
2,Greedy ES - no ls,38,37,18,630.0,0.06706
2,Greedy ES - ls,38,37,18,630.0,0.15611
2,Greedy MIS - no ls,38,37,18,630.0,0.30304
2,Greedy MIS - ls,38,37,18,630.0,6.59086
2,Exact,38,37,18,630.0,3.99598
2,Greedy ES - no ls,38,37,10,630.0,0.08020
2,Greedy ES - ls,38,37,10,630.0,0.14672
2,Greedy MIS - no ls,38,37,10,630.0,0.88397
2,Greedy MIS - ls,38,37,10,630.0,5.94580
2,Exact,38,37,10,630.0,9.69647
2,Greedy ES - no ls,38,37,7,630.0,0.08379
2,Greedy ES - ls,38,37,7,630.0,0.13520
2,Greedy MIS - no ls,38,37,7,630.0,1.13577
2,Greedy MIS - ls,38,37,7,630.0,5.04327
2,Exact,38,37,7,630.0,21.02666
2,Greedy ES - no ls,57,18,10,1540.0,0.01452
2,Greedy ES - ls,57,18,10,1540.0,0.03460
2,Greedy MIS - no ls,57,18,10,1540.0,0.73411
2,Greedy MIS - ls,57,18,10,1540.0,2.26005
2,Exact,57,18,10,1540.0,3.03416
2,Greedy ES - no ls,57,18,8,1540.0,0.01708
2,Greedy ES - ls,57,18,8,1540.0,0.03720
2,Greedy MIS - no ls,57,18,8,1540.0,0.56553
2,Greedy MIS - ls,57,18,8,1540.0,2.06905
2,Exact,57,18,8,1540.0,4.02913
2,Greedy ES - no ls,57,18,5,1540.0,0.01930
2,Greedy ES - ls,57,18,5,1540.0,0.03513
2,Greedy MIS - no ls,57,18,5,1540.0,0.21834
2,Greedy MIS - ls,57,18,5,1540.0,1.44304
2,Exact,57,18,5,1540.0,3.08317
