terminals_budget,K_budget,terminals_len,non_terminals_len,K,case,algo,obj,time
15.0,10.0,15,36,10,1,Greedy ES - no ls,2.0,0.10991
15.0,10.0,15,36,10,1,Greedy ES - ls,2.0,0.17763
15.0,10.0,15,36,10,1,Greedy MIS - no ls,1.0,2.48889
15.0,10.0,15,36,10,1,Greedy MIS - ls,1.0,6.13657
15.0,8.0,15,36,8,1,Greedy ES - no ls,5.0,0.11007
15.0,8.0,15,36,8,1,Greedy ES - ls,5.0,0.16905
15.0,8.0,15,36,8,1,Greedy MIS - no ls,3.0,2.58669
15.0,8.0,15,36,8,1,Greedy MIS - ls,3.0,5.67317
15.0,5.0,15,36,5,1,Greedy ES - no ls,12.0,0.11212
15.0,5.0,15,36,5,1,Greedy ES - ls,11.0,0.15237
15.0,5.0,15,36,5,1,Greedy MIS - no ls,9.0,2.65479
15.0,5.0,15,36,5,1,Greedy MIS - ls,9.0,4.76335
25.0,15.0,25,26,15,1,Greedy ES - no ls,5.0,0.10246
25.0,15.0,25,26,15,1,Greedy ES - ls,4.0,0.19624
25.0,15.0,25,26,15,1,Greedy MIS - no ls,2.0,2.22800
25.0,15.0,25,26,15,1,Greedy MIS - ls,2.0,7.07439
25.0,10.0,25,26,10,1,Greedy ES - no ls,19.0,0.10892
25.0,10.0,25,26,10,1,Greedy ES - ls,12.0,0.18210
25.0,10.0,25,26,10,1,Greedy MIS - no ls,11.0,2.50432
25.0,10.0,25,26,10,1,Greedy MIS - ls,10.0,6.21864
25.0,7.0,25,26,7,1,Greedy ES - no ls,33.0,0.11169
25.0,7.0,25,26,7,1,Greedy ES - ls,31.0,0.16344
25.0,7.0,25,26,7,1,Greedy MIS - no ls,26.0,2.63096
25.0,7.0,25,26,7,1,Greedy MIS - ls,26.0,5.41378
38.0,25.0,38,13,25,1,Greedy ES - no ls,3.0,0.08504
38.0,25.0,38,13,25,1,Greedy ES - ls,2.0,0.19911
38.0,25.0,38,13,25,1,Greedy MIS - no ls,0.0,1.31176
38.0,25.0,38,13,25,1,Greedy MIS - ls,0.0,7.20940
38.0,15.0,38,13,15,1,Greedy ES - no ls,19.0,0.10426
38.0,15.0,38,13,15,1,Greedy ES - ls,14.0,0.21830
38.0,15.0,38,13,15,1,Greedy MIS - no ls,13.0,2.21309
38.0,15.0,38,13,15,1,Greedy MIS - ls,13.0,7.15854
38.0,10.0,38,13,10,1,Greedy ES - no ls,49.0,0.11171
38.0,10.0,38,13,10,1,Greedy ES - ls,45.0,0.18335
38.0,10.0,38,13,10,1,Greedy MIS - no ls,42.0,2.51437
38.0,10.0,38,13,10,1,Greedy MIS - ls,42.0,6.26835
15.0,25.0,15,36,25,2,Greedy ES - no ls,14.0,0.02975
15.0,25.0,15,36,25,2,Greedy ES - ls,14.0,0.07690
15.0,25.0,15,36,25,2,Greedy MIS - no ls,14.0,0.19918
15.0,25.0,15,36,25,2,Greedy MIS - ls,14.0,2.69055
15.0,15.0,15,36,15,2,Greedy ES - no ls,14.0,0.04727
15.0,15.0,15,36,15,2,Greedy ES - ls,14.0,0.10177
15.0,15.0,15,36,15,2,Greedy MIS - no ls,19.0,0.58467
15.0,15.0,15,36,15,2,Greedy MIS - ls,14.0,3.33560
15.0,10.0,15,36,10,2,Greedy ES - no ls,15.0,0.05276
15.0,10.0,15,36,10,2,Greedy ES - ls,15.0,0.09756
15.0,10.0,15,36,10,2,Greedy MIS - no ls,19.0,0.88214
15.0,10.0,15,36,10,2,Greedy MIS - ls,14.0,3.18209
25.0,15.0,25,26,15,2,Greedy ES - no ls,75.0,0.02023
25.0,15.0,25,26,15,2,Greedy ES - ls,75.0,0.04932
25.0,15.0,25,26,15,2,Greedy MIS - no ls,75.0,0.11145
25.0,15.0,25,26,15,2,Greedy MIS - ls,75.0,1.35183
25.0,10.0,25,26,10,2,Greedy ES - no ls,75.0,0.02590
25.0,10.0,25,26,10,2,Greedy ES - ls,75.0,0.05349
25.0,10.0,25,26,10,2,Greedy MIS - no ls,156.0,0.18230
25.0,10.0,25,26,10,2,Greedy MIS - ls,94.0,1.43724
25.0,7.0,25,26,7,2,Greedy ES - no ls,81.0,0.02845
25.0,7.0,25,26,7,2,Greedy ES - ls,81.0,0.05176
25.0,7.0,25,26,7,2,Greedy MIS - no ls,156.0,0.30291
25.0,7.0,25,26,7,2,Greedy MIS - ls,94.0,1.40790
38.0,10.0,38,13,10,2,Greedy ES - no ls,178.0,0.00321
38.0,10.0,38,13,10,2,Greedy ES - ls,178.0,0.00873
38.0,10.0,38,13,10,2,Greedy MIS - no ls,178.0,0.26663
38.0,10.0,38,13,10,2,Greedy MIS - ls,178.0,0.54328
38.0,8.0,38,13,8,2,Greedy ES - no ls,178.0,0.00492
38.0,8.0,38,13,8,2,Greedy ES - ls,178.0,0.01214
38.0,8.0,38,13,8,2,Greedy MIS - no ls,178.0,0.22637
38.0,8.0,38,13,8,2,Greedy MIS - ls,178.0,0.59124
38.0,5.0,38,13,5,2,Greedy ES - no ls,192.0,0.00674
38.0,5.0,38,13,5,2,Greedy ES - ls,192.0,0.01395
38.0,5.0,38,13,5,2,Greedy MIS - no ls,207.0,0.13378
38.0,5.0,38,13,5,2,Greedy MIS - ls,192.0,0.48824
