nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,obj,time
75,1,Greedy ES - ls,4,71,1,3.0,0.38020,"[3, 3, 3, 3, 3]","[0.3710509130032733, 0.3810729589968105, 0.37448951300029876, 0.3760418910023873, 0.3983628610003507]"
75,1,Greedy MIS - ls,4,71,1,3.0,12.25945,"[3, 3, 3, 3, 3]","[11.947493900002883, 11.990565487001732, 12.324336726000183, 12.416330750998895, 12.618499405001785]"
75,1,Exact - path,4,71,1,3.0,0.00350,"[3.0, 3.0, 3.0, 3.0, 3.0]","[0.0036965609979233705, 0.0035789659996225964, 0.0036353639989101794, 0.0029736420001427177, 0.0036041009989276063]"
75,1,Exact,4,71,1,3.0,5.58542,"[3.0, 3.0, 3.0, 3.0, 3.0]","[5.256666221001069, 5.652905066999665, 5.486473000000842, 5.811249439000676, 5.719791741998051]"
75,1,Greedy ES - ls,8,67,2,16.2,0.40696,"[21, 15, 15, 15, 15]","[0.39196202300081495, 0.4276373950015113, 0.39526173999911407, 0.4254874030011706, 0.39447421099976054]"
75,1,Greedy MIS - ls,8,67,2,15.0,14.15353,"[15, 15, 15, 15, 15]","[14.316071741999622, 14.828042376000667, 13.724589925001055, 13.940438433000963, 13.9585318190002]"
75,1,Exact - path,8,67,2,15.0,0.02599,"[15.0, 15.0, 15.0, 15.0, 15.0]","[0.01080521400217549, 0.0869634570008202, 0.009805492001760285, 0.008501664000505116, 0.013896296000893926]"
75,1,Exact,8,67,2,15.0,14.78457,"[15.0, 15.0, 15.0, 15.0, 15.0]","[12.875167760001204, 9.843016393999278, 17.280325364998134, 15.611239793001005, 18.31311412800278]"
75,1,Greedy ES - ls,8,67,1,21.0,0.38299,"[21, 21, 21, 21, 21]","[0.39411628900052165, 0.37832772999900044, 0.38258434900126304, 0.3825010140026279, 0.377399252000032]"
75,1,Greedy MIS - ls,8,67,1,21.0,12.19117,"[21, 21, 21, 21, 21]","[12.45577947899801, 12.351408102000278, 11.972180039003433, 12.154593090999697, 12.02190118100043]"
75,1,Exact - path,8,67,1,21.0,0.00502,"[21.0, 21.0, 21.0, 21.0, 21.0]","[0.003843908001726959, 0.005479338000441203, 0.006302870999206789, 0.00495362600122462, 0.004505525997956283]"
75,1,Exact,8,67,1,21.0,5.91670,"[21.0, 21.0, 21.0, 21.0, 21.0]","[5.714592196000012, 5.682303265002702, 5.86541600900091, 6.438199760999851, 5.88298943799964]"
