nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,sol_status,obj,time
75,1,Greedy ES - ls,4,71,1,3.0,0.37428,[],"[3, 3, 3, 3, 3]","[0.3659821250003006, 0.3753937479996239, 0.3713356759999442, 0.3697764250009641, 0.38892704200043227]"
75,1,Greedy MIS - ls,4,71,1,3.0,12.12368,[],"[3, 3, 3, 3, 3]","[11.799914945000637, 11.876091796000765, 12.121001088000412, 12.333893344999524, 12.487523162999423]"
75,1,Exact - path,4,71,1,3.0,0.00341,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[3.0, 3.0, 3.0, 3.0, 3.0]","[0.00333069799853547, 0.003538466999088996, 0.003613206999943941, 0.00292810600149096, 0.003632252999523189]"
75,1,Exact,4,71,1,3.0,4.70718,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[3.0, 3.0, 3.000000000000001, 3.0, 3.0]","[4.599030316001517, 4.760036654999567, 4.521394338000391, 4.849229467999976, 4.806229664000057]"
75,1,Greedy ES - ls,8,67,2,16.2,0.40164,[],"[21, 15, 15, 15, 15]","[0.38868365099915536, 0.4246151829993323, 0.38532569400013017, 0.42216243900111294, 0.3874099499989825]"
75,1,Greedy MIS - ls,8,67,2,15.0,14.16549,[],"[15, 15, 15, 15, 15]","[13.898530849000963, 14.946609743001318, 13.835760551999556, 14.086822638999365, 14.059703516999434]"
75,1,Exact - path,8,67,2,15.0,0.02211,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[15.0, 15.0, 15.0, 15.0, 15.0]","[0.012169951000032597, 0.06450922700059891, 0.009802155000215862, 0.007792516998961219, 0.0162862880006287]"
75,1,Exact,8,67,2,15.0,13.40425,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[15.0, 15.0, 15.0, 15.0, 15.0]","[11.684612872999423, 8.758625104999737, 15.840909651000402, 13.789272260000871, 16.947847642000852]"
75,1,Greedy ES - ls,8,67,1,21.0,0.37147,[],"[21, 21, 21, 21, 21]","[0.3861341400006495, 0.36814257700098096, 0.3699773130010726, 0.36626314699969953, 0.36684583900023426]"
75,1,Greedy MIS - ls,8,67,1,21.0,12.07892,[],"[21, 21, 21, 21, 21]","[12.165673858999071, 12.259078683000553, 11.915221701001428, 11.953489297000488, 12.101112927999566]"
75,1,Exact - path,8,67,1,21.0,0.00494,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[21.0, 21.0, 21.0, 21.0, 21.0]","[0.0038330709994625067, 0.0053958850003255066, 0.006053384999177069, 0.0049674040001264075, 0.004431612000189489]"
75,1,Exact,8,67,1,21.0,4.91915,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[21.0, 21.0, 21.0, 21.0, 21.0]","[4.654443637999066, 4.823699096999917, 4.86502992700116, 5.378542884000126, 4.874040647999209]"
75,1,Greedy ES - ls,11,64,3,31.2,0.41989,[],"[36, 28, 28, 28, 36]","[0.40801434899913147, 0.4608025429988629, 0.41307677399890963, 0.4071439780000219, 0.41039220199854753]"
75,1,Greedy MIS - ls,11,64,3,28.0,16.20333,[],"[28, 28, 28, 28, 28]","[15.66783134400066, 16.867516502999933, 16.058858183001576, 16.530634943999758, 15.891829889000292]"
75,1,Exact - path,11,64,3,28.0,0.03733,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[28.0, 28.0, 28.0, 28.0, 28.0]","[0.018319857999813394, 0.03255222600091656, 0.04881569200006197, 0.028018055001666653, 0.0589639369991346]"
75,1,Exact,11,64,3,28.0,917.50771,"['integer optimal solution', 'time limit exceeded', 'time limit exceeded', 'time limit exceeded', 'time limit exceeded']","[28.0, 28.0, 28.0, 28.0, 28.0]","[583.1964657520002, 1001.0744498059994, 1001.1038420700006, 1001.0895882910008, 1001.0741844160002]"
75,1,Greedy ES - ls,11,64,2,36.0,0.40622,[],"[36, 36, 36, 36, 36]","[0.44005062299947895, 0.3915250810005091, 0.38556248799977766, 0.38640599500104145, 0.427576832998966]"
75,1,Greedy MIS - ls,11,64,2,36.0,14.35979,[],"[36, 36, 36, 36, 36]","[14.634755941999174, 14.643428548000884, 13.665187591999711, 13.7378106569995, 15.117749463999644]"
75,1,Exact - path,11,64,2,36.0,0.02043,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[36.0, 36.0, 36.0, 36.0, 36.0]","[0.024506312000085018, 0.02176379699994868, 0.016282915999909164, 0.01676939099888841, 0.022849029999633785]"
75,1,Exact,11,64,2,36.0,260.84807,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[36.0, 36.0, 36.0, 36.0, 36.0]","[108.94383914599894, 296.915198910001, 14.433513198999208, 548.5086325430002, 335.43918969600054]"
75,1,Greedy ES - ls,11,64,1,45.0,0.37601,[],"[45, 45, 45, 45, 45]","[0.3755042370012234, 0.37652909999997064, 0.3725123120002536, 0.37536245599949325, 0.3801503100003174]"
75,1,Greedy MIS - ls,11,64,1,45.0,12.25385,[],"[45, 45, 45, 45, 45]","[12.547968089998903, 12.071917934999874, 12.21062675199937, 12.079425322001043, 12.359327942000164]"
75,1,Exact - path,11,64,1,45.0,0.01112,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[45.0, 45.0, 45.0, 45.0, 45.0]","[0.007094844999301131, 0.010392611999122892, 0.009550118000333896, 0.01799754499916162, 0.010569183999905363]"
75,1,Exact,11,64,1,45.0,5.45499,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[45.0, 45.0, 45.0, 45.0, 45.0]","[5.743211913000778, 4.676237376999779, 5.865950188001079, 4.532748145000369, 6.456825295001181]"
