case,algo,terminals,non_terminals,K,obj,time
2,Greedy ES - no ls,15,36,20,14.0,0.04176
2,Greedy ES - ls,15,36,20,14.0,0.09535
2,Greedy MIS - no ls,15,36,20,19.0,0.19058
2,Greedy MIS - ls,15,36,20,14.0,2.80152
2,Exact,15,36,20,14.0,1.24429
2,Greedy ES - no ls,15,36,15,14.0,0.04900
2,Greedy ES - ls,15,36,15,14.0,0.10688
2,Greedy MIS - no ls,15,36,15,19.0,0.59581
2,Greedy MIS - ls,15,36,15,14.0,3.36472
2,Exact,15,36,15,14.0,1.24001
2,Greedy ES - no ls,15,36,10,15.0,0.05416
2,Greedy ES - ls,15,36,10,15.0,0.10071
2,Greedy MIS - no ls,15,36,10,19.0,0.88632
2,Greedy MIS - ls,15,36,10,14.0,3.23152
2,Exact,15,36,10,14.0,1.69107
2,Greedy ES - no ls,25,26,15,75.0,0.02052
2,Greedy ES - ls,25,26,15,75.0,0.04996
2,Greedy MIS - no ls,25,26,15,75.0,0.11355
2,Greedy MIS - ls,25,26,15,75.0,1.38177
2,Exact,25,26,15,75.0,1.18477
2,Greedy ES - no ls,25,26,10,75.0,0.02644
2,Greedy ES - ls,25,26,10,75.0,0.05527
2,Greedy MIS - no ls,25,26,10,156.0,0.18704
2,Greedy MIS - ls,25,26,10,94.0,1.45916
2,Exact,25,26,10,75.0,1.32890
2,Greedy ES - no ls,25,26,7,81.0,0.02900
2,Greedy ES - ls,25,26,7,81.0,0.05222
2,Greedy MIS - no ls,25,26,7,156.0,0.31112
2,Greedy MIS - ls,25,26,7,94.0,1.47440
2,Exact,25,26,7,78.0,1.32724
2,Greedy ES - no ls,38,13,10,178.0,0.00332
2,Greedy ES - ls,38,13,10,178.0,0.00888
2,Greedy MIS - no ls,38,13,10,178.0,0.27263
2,Greedy MIS - ls,38,13,10,178.0,0.55300
2,Exact,38,13,10,178.0,1.23776
2,Greedy ES - no ls,38,13,8,178.0,0.00496
2,Greedy ES - ls,38,13,8,178.0,0.01266
2,Greedy MIS - no ls,38,13,8,178.0,0.24049
2,Greedy MIS - ls,38,13,8,178.0,0.58966
2,Exact,38,13,8,178.0,1.29044
2,Greedy ES - no ls,38,13,5,192.0,0.00676
2,Greedy ES - ls,38,13,5,192.0,0.01404
2,Greedy MIS - no ls,38,13,5,207.0,0.13399
2,Greedy MIS - ls,38,13,5,192.0,0.49375
2,Exact,38,13,5,192.0,1.27821



1,Greedy ES - no ls,15,36,10,2.0,0.11048
1,Greedy ES - ls,15,36,10,2.0,0.18201
1,Greedy MIS - no ls,15,36,10,1.0,2.52683
1,Greedy MIS - ls,15,36,10,1.0,6.23090
1,Exact,15,36,10,1.0,1785.63246
1,Greedy ES - no ls,15,36,8,5.0,0.11144
1,Greedy ES - ls,15,36,8,5.0,0.16824
1,Greedy MIS - no ls,15,36,8,3.0,2.56246
1,Greedy MIS - ls,15,36,8,3.0,5.60278
1,Exact,15,36,8,3.0,200.25634
1,Greedy ES - no ls,15,36,5,12.0,0.11243
1,Greedy ES - ls,15,36,5,11.0,0.15318
1,Greedy MIS - no ls,15,36,5,9.0,2.66571
1,Greedy MIS - ls,15,36,5,9.0,4.71968
1,Exact,15,36,5,9.0,29.54533
1,Greedy ES - no ls,25,26,15,5.0,0.10431
1,Greedy ES - ls,25,26,15,4.0,0.19367
1,Greedy MIS - no ls,25,26,15,2.0,2.19580
1,Greedy MIS - ls,25,26,15,2.0,7.05821
1,Exact,25,26,15,2.0,452.03281
1,Greedy ES - no ls,25,26,10,19.0,0.10973
1,Greedy ES - ls,25,26,10,12.0,0.18135
1,Greedy MIS - no ls,25,26,10,11.0,2.50172
1,Greedy MIS - ls,25,26,10,10.0,6.15465
1,Exact,25,26,10,10.0,81.89067
1,Greedy ES - no ls,25,26,7,33.0,0.11223
1,Greedy ES - ls,25,26,7,31.0,0.16798
1,Greedy MIS - no ls,25,26,7,26.0,2.62871
1,Greedy MIS - ls,25,26,7,26.0,5.41591
1,Exact,25,26,7,26.0,73.75658
1,Greedy ES - no ls,38,13,20,8.0,0.09635
1,Greedy ES - ls,38,13,20,6.0,0.20849
1,Greedy MIS - no ls,38,13,20,5.0,1.84291
1,Greedy MIS - ls,38,13,20,5.0,7.51533
1,Exact,38,13,20,5.0,16.26954
1,Greedy ES - no ls,38,13,15,19.0,0.10343
1,Greedy ES - ls,38,13,15,14.0,0.19670
1,Greedy MIS - no ls,38,13,15,13.0,2.20400
1,Greedy MIS - ls,38,13,15,13.0,7.10802
1,Exact,38,13,15,13.0,22.21607
1,Greedy ES - no ls,38,13,10,49.0,0.10947
1,Greedy ES - ls,38,13,10,45.0,0.18056
1,Greedy MIS - no ls,38,13,10,42.0,2.48655
1,Greedy MIS - ls,38,13,10,42.0,6.21453
1,Exact,38,13,10,42.0,27.27788
