case,algo,terminals,non_terminals,K,obj,time
1,Greedy ES - no ls,15,36,10,2.0,0.10929
1,Greedy ES - ls,15,36,10,2.0,0.17662
1,Greedy MIS - no ls,15,36,10,1.0,2.45913
1,Greedy MIS - ls,15,36,10,1.0,6.06250
1,Exact,15,36,10,1.0,0.05766
1,Greedy ES - no ls,15,36,8,5.0,0.10921
1,Greedy ES - ls,15,36,8,5.0,0.16600
1,Greedy MIS - no ls,15,36,8,3.0,2.53887
1,Greedy MIS - ls,15,36,8,3.0,5.55291
1,Exact,15,36,8,3.0,0.02055
1,Greedy ES - no ls,15,36,5,12.0,0.11073
1,Greedy ES - ls,15,36,5,11.0,0.15071
1,Greedy MIS - no ls,15,36,5,9.0,2.65660
1,Greedy MIS - ls,15,36,5,9.0,4.72493
1,Exact,15,36,5,9.0,0.01485
1,Greedy ES - no ls,25,26,15,5.0,0.10391
1,Greedy ES - ls,25,26,15,4.0,0.19725
1,Greedy MIS - no ls,25,26,15,2.0,2.20894
1,Greedy MIS - ls,25,26,15,2.0,7.04457
1,Exact,25,26,15,2.0,0.08235
1,Greedy ES - no ls,25,26,10,19.0,0.10724
1,Greedy ES - ls,25,26,10,12.0,0.17716
1,Greedy MIS - no ls,25,26,10,11.0,2.47826
1,Greedy MIS - ls,25,26,10,10.0,6.14941
1,Exact,25,26,10,10.0,0.03018
1,Greedy ES - no ls,25,26,7,33.0,0.11183
1,Greedy ES - ls,25,26,7,31.0,0.16719
1,Greedy MIS - no ls,25,26,7,26.0,2.59692
1,Greedy MIS - ls,25,26,7,26.0,5.37418
1,Exact,25,26,7,26.0,0.08732
1,Greedy ES - no ls,38,13,20,8.0,0.09595
1,Greedy ES - ls,38,13,20,6.0,0.20579
1,Greedy MIS - no ls,38,13,20,5.0,1.80147
1,Greedy MIS - ls,38,13,20,5.0,7.42336
1,Exact,38,13,20,5.0,0.04906
1,Greedy ES - no ls,38,13,15,19.0,0.10335
1,Greedy ES - ls,38,13,15,14.0,0.19735
1,Greedy MIS - no ls,38,13,15,13.0,2.19835
1,Greedy MIS - ls,38,13,15,13.0,7.08805
1,Exact,38,13,15,13.0,0.03276
1,Greedy ES - no ls,38,13,10,49.0,0.11173
1,Greedy ES - ls,38,13,10,45.0,0.18680
1,Greedy MIS - no ls,38,13,10,42.0,2.54635
1,Greedy MIS - ls,38,13,10,42.0,6.27120
1,Exact,38,13,10,42.0,0.26978
2,Greedy ES - no ls,15,36,20,14.0,0.04009
2,Greedy ES - ls,15,36,20,14.0,0.09592
2,Greedy MIS - no ls,15,36,20,14.0,0.44866
2,Greedy MIS - ls,15,36,20,14.0,3.23524
2,Exact,15,36,20,14.0,0.00792
2,Greedy ES - no ls,15,36,15,14.0,0.04710
2,Greedy ES - ls,15,36,15,14.0,0.10157
2,Greedy MIS - no ls,15,36,15,14.0,0.83912
2,Greedy MIS - ls,15,36,15,14.0,3.66445
2,Exact,15,36,15,14.0,0.00791
2,Greedy ES - no ls,15,36,10,15.0,0.05304
2,Greedy ES - ls,15,36,10,15.0,0.09692
2,Greedy MIS - no ls,15,36,10,14.0,1.12586
2,Greedy MIS - ls,15,36,10,14.0,3.48350
2,Exact,15,36,10,14.0,0.00754
2,Greedy ES - no ls,25,26,15,75.0,0.02041
2,Greedy ES - ls,25,26,15,75.0,0.04954
2,Greedy MIS - no ls,25,26,15,75.0,0.22054
2,Greedy MIS - ls,25,26,15,75.0,1.54209
2,Exact,25,26,15,75.0,0.01109
2,Greedy ES - no ls,25,26,10,75.0,0.02626
2,Greedy ES - ls,25,26,10,75.0,0.05442
2,Greedy MIS - no ls,25,26,10,75.0,0.51175
2,Greedy MIS - ls,25,26,10,75.0,1.91785
2,Exact,25,26,10,75.0,0.01101
2,Greedy ES - no ls,25,26,7,81.0,0.02849
2,Greedy ES - ls,25,26,7,81.0,0.05154
2,Greedy MIS - no ls,25,26,7,78.0,0.62386
2,Greedy MIS - ls,25,26,7,78.0,1.79450
2,Exact,25,26,7,78.0,0.01541
2,Greedy ES - no ls,38,13,10,178.0,0.00330
2,Greedy ES - ls,38,13,10,178.0,0.00891
2,Greedy MIS - no ls,38,13,10,178.0,0.00862
2,Greedy MIS - ls,38,13,10,178.0,0.26759
2,Exact,38,13,10,178.0,0.01825
2,Greedy ES - no ls,38,13,8,178.0,0.00492
2,Greedy ES - ls,38,13,8,178.0,0.01221
2,Greedy MIS - no ls,38,13,8,178.0,0.02898
2,Greedy MIS - ls,38,13,8,178.0,0.31890
2,Exact,38,13,8,178.0,0.01812
2,Greedy ES - no ls,38,13,5,192.0,0.00669
2,Greedy ES - ls,38,13,5,192.0,0.01405
2,Greedy MIS - no ls,38,13,5,192.0,0.10832
2,Greedy MIS - ls,38,13,5,192.0,0.44300
2,Exact,38,13,5,192.0,0.01872
