nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,sol_status,obj,time
125,1,Greedy ES - ls,38,87,11,306.8,2.11815,[],"[276, 351, 351, 231, 325]","[2.1121121429996492, 2.1394684919996507, 2.0889459620002526, 2.1131001660005495, 2.137129978998928]"
125,1,Greedy MIS - ls,38,87,11,246.6,136.48635,[],"[253, 237, 256, 211, 276]","[136.01892597699953, 137.05843014700076, 135.73829831799958, 136.65373343299962, 136.96234309400097]"
125,1,Exact - path,38,87,11,242.4,587.79632,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[253.0, 237.0, 235.0, 211.0, 276.0]","[360.8666038829997, 41.07028536400048, 46.128286116999334, 178.85541011899932, 2312.060996998999]"
125,1,Greedy ES - ls,38,87,8,390.8,1.97311,[],"[378, 435, 435, 300, 406]","[1.9650429609991988, 1.9496376819988654, 1.9628194870001607, 1.9777942439995968, 2.010233828001219]"
125,1,Greedy MIS - ls,38,87,8,332.2,121.36353,[],"[351, 331, 351, 277, 351]","[121.31550570499894, 121.38088386300115, 120.76226708500144, 122.44873681399986, 120.9102637649994]"
125,1,Exact - path,38,87,8,332.2,118.87253,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[351.0, 331.0, 351.0, 277.0, 351.0]","[394.6858527050008, 89.78863439999986, 25.33072053199976, 6.991053783000098, 77.5664133070004]"
125,2,Greedy ES - ls,50,75,22,873.6,1.01480,[],"[1082, 507, 910, 832, 1037]","[1.0108557029998337, 1.0181628280006407, 1.017295499001193, 1.0085128659993643, 1.0191843939974206]"
125,2,Greedy MIS - ls,50,75,22,525.0,79.77511,[],"[488, 507, 632, 484, 514]","[78.943295011999, 81.47601127500093, 79.38500904600005, 79.99375629100177, 79.07747972699872]"
125,2,Exact - path,50,75,22,467.2,597.52680,"['integer optimal solution', 'integer optimal solution', 'time limit exceeded', 'integer optimal solution', 'integer optimal solution']","[405.0, 487.0, 562.0, 454.0, 428.0]","[26.958382461001747, 1071.2495670809985, 1800.0160257040006, 41.434917657999904, 47.9751023989993]"
125,2,Greedy ES - ls,50,75,15,1030.8,0.93155,[],"[1129, 904, 996, 996, 1129]","[0.936438436001481, 0.9219455970014678, 0.9431370139973296, 0.9283872750020237, 0.9278251049981918]"
125,2,Greedy MIS - ls,50,75,15,671.6,69.32831,[],"[582, 686, 792, 684, 614]","[68.2410636099994, 70.46795439099878, 68.85691017000136, 69.8119295180004, 69.26368910600286]"
125,2,Exact - path,50,75,15,664.6,73.06645,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[582.0, 686.0, 757.0, 684.0, 614.0]","[28.81831430600141, 131.1756348380004, 74.75414895999711, 108.6269932920004, 21.957143269999506]"
