nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,sol_status,obj,time
200,2,Greedy ES - ls,40,160,32,734.2,7.21416,[],"[741, 780, 780, 667, 703]","[7.225316919000761, 7.279434924999805, 7.184720006000134, 7.18933448000098, 7.19198586299899]"
200,2,Greedy MIS - ls,40,160,32,349.4,852.54746,[],"[274, 389, 474, 294, 316]","[859.8670486099982, 859.5878398139976, 838.2884882519975, 855.5017645119988, 849.4921456259981]"

200,2,Greedy ES - ls,40,160,48,510.2,7.90763,[],"[567, 667, 780, 233, 304]","[7.913131993998832, 7.800043581002683, 7.867020871999557, 7.997042656999838, 7.960907414999383]"
200,2,Greedy MIS - ls,40,160,48,214.0,994.67836,[],"[154, 288, 311, 182, 135]","[1017.2673428140006, 985.1558685599994, 979.3862218969953, 992.9613786699992, 998.6210000120045]"

200,2,Greedy ES - ls,80,120,24,2824.0,4.09430,[],"[2851, 3003, 2927, 2560, 2779]","[4.079940265000914, 4.055422723002266, 4.132246809000208, 4.157052088005003, 4.046840870003507]"
200,2,Greedy MIS - ls,80,120,24,1893.4,486.14621,[],"[1742, 1915, 1979, 1796, 2035]","[489.5973717759989, 480.96413930499693, 486.31228199600446, 491.6400413090014, 482.2172264249966]"

200,2,Greedy ES - ls,80,120,36,2649.8,4.42178,[],"[2629, 3003, 2632, 2422, 2563]","[4.408703926004819, 4.467763681997894, 4.395544448001601, 4.370791715999076, 4.466090435998922]"
200,2,Greedy MIS - ls,80,120,36,1413.4,563.45763,[],"[1367, 1516, 1482, 1462, 1240]","[561.8902645220005, 555.465636658002, 561.9247389519951, 580.7998228069991, 557.207704708002]"

200,1,Greedy ES - ls,40,160,8,418.6,8.43826,[],"[379, 407, 465, 435, 407]","[8.148480110001401, 8.143274084999575, 8.201007976000255, 9.599319046996243, 8.099196032999316]"
200,1,Greedy MIS - ls,40,160,8,401.2,740.48650,[],"[379, 407, 435, 406, 379]","[736.878388641002, 746.8043851080001, 731.6032585349967, 755.997580452, 731.1489078300001]"

200,1,Greedy ES - ls,40,160,12,305.8,8.57893,[],"[277, 301, 325, 325, 301]","[8.54450308700325, 8.579487206996419, 8.6573774339995, 8.581998636997014, 8.531299347996537]"
200,1,Greedy MIS - ls,40,160,12,281.6,838.10826,[],"[254, 301, 300, 276, 277]","[833.8985579930013, 854.9130300739998, 829.9819756430006, 837.741701302999, 834.0060497329978]"

200,1,Greedy ES - ls,80,120,16,1556.4,9.11441,[],"[1328, 1487, 1770, 1486, 1711]","[9.159686180995777, 9.103581106995989, 9.107713586003229, 9.11867932399764, 9.082393972996215]"
200,1,Greedy MIS - ls,80,120,16,1353.0,928.08610,[],"[1182, 1328, 1596, 1277, 1382]","[928.5603703310044, 924.1775073150056, 936.5746958409945, 928.6242475920008, 922.4936743409999]"

200,1,Greedy ES - ls,80,120,24,1086.4,9.81496,[],"[948, 1037, 1326, 1082, 1039]","[9.972770751999633, 9.953400118996797, 9.80321529199864, 9.683832591996179, 9.661564220004948]"
200,1,Greedy MIS - ls,80,120,24,927.8,1079.78609,[],"[786, 905, 1176, 822, 950]","[1090.7488223359978, 1090.3370807159954, 1075.8462920340025, 1070.9376465430032, 1071.060623780002]"
